t=2026-07-25T14:14:00+0100 lvl=info msg="no configuration paths supplied"
t=2026-07-25T14:14:00+0100 lvl=info msg="using configuration at default config path" path="/Users/a/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-25T14:14:00+0100 lvl=info msg="open config file" path="/Users/a/Library/Application Support/ngrok/ngrok.yml" err=<nil>
t=2026-07-25T14:15:42+0100 lvl=info msg="join connections" obj=join id=0bc7d5393b25 l=[::1]:3000 r=105.127.13.198:19444
t=2026-07-25T14:15:44+0100 lvl=info msg="join connections" obj=join id=2640d5faa030 l=[::1]:3000 r=105.127.13.198:19444
t=2026-07-25T14:15:45+0100 lvl=info msg="join connections" obj=join id=ec7efed75cc0 l=[::1]:3000 r=105.127.13.198:19444
t=2026-07-25T14:15:52+0100 lvl=info msg="join connections" obj=join id=0bb30ba88ede l=[::1]:3000 r=105.127.13.198:19470
t=2026-07-25T14:15:59+0100 lvl=info msg="join connections" obj=join id=f85d9232ad24 l=[::1]:3000 r=105.127.13.198:19464
t=2026-07-25T14:16:06+0100 lvl=info msg="join connections" obj=join id=a950dfa7cf0b l=[::1]:3000 r=105.127.13.198:19427
t=2026-07-25T14:16:12+0100 lvl=info msg="join connections" obj=join id=c9542393a693 l=[::1]:3000 r=105.127.13.198:19470
t=2026-07-25T14:16:14+0100 lvl=info msg="join connections" obj=join id=ba47d34abb4a l=[::1]:3000 r=105.127.13.198:19427
t=2026-07-25T14:16:21+0100 lvl=info msg="join connections" obj=join id=8828f1b10532 l=[::1]:3000 r=105.127.13.198:24575
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=73e59ad64501 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=26da786ff2b4 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=d4b3b4870561 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=c7c5c8e9f6d1 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=9e50dfb73556 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=fa6865e95c53 l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:25+0100 lvl=info msg="join connections" obj=join id=3d6fef8ba39b l=[::1]:3000 r=105.127.13.198:24582
t=2026-07-25T14:16:26+0100 lvl=info msg="join connections" obj=join id=96093a4cce5e l=[::1]:3000 r=105.127.13.198:24582
